filename,char_count,success,latency_ms,flagged_additives,extracted_text_snippet
20260919_160626.jpg,1119,True,67009.9,Tartrazine (FD&C Yellow 5) (E102); Lactic Acid (E270); Citric Acid (E330); Monosodium Glutamate (MSG) (E621); Dextrin (E1400),"3553 BALL MiLESE FLAVORED Ingredients: Corn, Vegetable Oil (may contain Coconut Oil andlor Palm Oil) , Cheese Powder (Su"
20260919_160627.jpg,1116,True,35562.0,Lactic Acid (E270); Citric Acid (E330); Monosodium Glutamate (MSG) (E621),545ES3 BALL MEESE fCAVORED Iedients: Con Vegetable Oil (may contain Coconut Oil andlor Palm Oi) Cheese Powder (Sugar; Ch
20260919_160704.jpg,1752,True,37796.7,"Tartrazine (FD&C Yellow 5) (E102); Sunset Yellow FCF (FD&C Yellow 6) (E110); Paprika Extract (Capsanthin / Capsorubin) (E160c); Sodium, Potassium and Calcium Salts of Fatty Acids (E470a); Monosodium Glutamate (MSG) (E621); Unknown Compound (E821)",L 3 Calous Fat (g) Total_ Faf (g) Saturated Trans Fat (g) Cholesterol (mg) (mg) 264 Sodium Carbohydrates (g) 21 Total Di
20260919_160708.jpg,1773,True,34811.3,"Tartrazine (FD&C Yellow 5) (E102); Sunset Yellow FCF (FD&C Yellow 6) (E110); Paprika Extract (Capsanthin / Capsorubin) (E160c); Sodium, Potassium and Calcium Salts of Fatty Acids (E470a); Monosodium Glutamate (MSG) (E621)","Fol sfurated, Fal (g) Frons  (mg) 264 (holesterol  (mg) (g) 21 sodium (arbohydrates 0 Fotol = Fiber , (g) Dietory 5 Sugo"
20260919_160738.jpg,3024,True,43952.8,Monosodium Glutamate (MSG) (E621),Lnno C 0% Vitamin 27% Calcium 33% 25% 33% Iron B1 16% Vilamin 20% 82 20% Vlamin 83 13% Vilamin 20% 85 13% Vilamin 33% 86
20260919_160836.jpg,1526,True,36680.4,Silicon Dioxide (Silica) (E551); Monosodium Glutamate (MSG) (E621),"bal sallaua Blessed With US Be LET O, Hati- Knoinledge ! Hati Research Ko For Tayo SA SA'yo Sa History. Nump? Class . SA"
20260919_160840.jpg,1420,True,34956.9,Tertiary-Butylhydroquinone (TBHQ) (E319); Silicon Dioxide (Silica) (E551); Monosodium Glutamate (MSG) (E621),Neol = baha AAn  LET Us Be Blessed Knoinledge ! With 0 Hati Iayo Sa Research Ko Hati ! Hulpi Class _ Sa'yo Sa For Histon
20260919_160858.jpg,285,True,34126.3,Clean / None,Aetuucuo 4s opecul #sre 8 3  7 8l g 1 2 8L 1 804 3 2 H | g 1 8 [ 13 3 8 2 2 2 F H 1 1 I89 J Fe HH 041 1 #LA ZXHH U J 9 1
20260919_161000.jpg,1066,True,41677.7,"Lecithin (E322); Sodium, Potassium and Calcium Salts of Fatty Acids (E470a); Ammonium Carbonates (Baker's Ammonia) (E503); Unknown Compound (E502)",6227 COCAaS INGREDIENTS: Wheat Flour; Vegetable Shortening (Palm Oil and Coconut Oil): Chocolate Chips {Sugar; Cocoa Mas
20260919_161007.jpg,2014,True,39878.3,"Lecithin (E322); Diphosphates (Disodium Dihydrogen Diphosphate) (E450); Sodium, Potassium and Calcium Salts of Fatty Acids (E470a); Sodium Carbonates (Baking Soda) (E500); Ammonium Carbonates (Baker's Ammonia) (E503)","2 7e l 7222 NGrCDie7 3 104i Sybiadil Shortening %DV * Vncal ""REVRNI"" (Palm Oil and Coconut Oil), Chocolate Chips {Sugar;"
20260919_161115.jpg,373,True,45085.7,Clean / None,Ii% 8 II Iwig2 8 3 1 8 07 W ( # Elas 1 38 ( I 0T 0 7 1 2 1 0 I 3 6 6 I [ 56 5 [ 1 8 9 1 3 1 0 2 2 1 0 1 3 23 0 1 0 I 1 8
20260919_161119.jpg,843,True,86218.4,Clean / None,1 1 0 5 8 2 0 0 5 1 5 1 { 1  Dl 3 1 0 8 3 # 1 6 3 2 15 2 1 0 { ME 1 3 05 1 i9 5 8: 0 0 3 1 1 68 23 g I L 0 I 0 8 1 5 2 1
20260919_161123.jpg,769,True,111291.3,Clean / None,2 3 8 WF  V HH 1 8 1 Ze 3 H# 1 1 1 1 # 1 8 3 & 1 U 1 1 8 I J 1 H { { 1 1 # j: 3 % # | 1 [e4h94 4 2 6 3 1 8 1 %' H 2 # 1 
20260919_161240.jpg,421,True,75282.6,Clean / None,2 0 3 Real 2 Ii? 2 8 1 H 1 1 La0 h 1 Ha vol 1 1 #2 8ta 7 Le in 5089 E9 ' 0 O RXj44 5 &aua: 1 1 [ Hasaaaenn 2 j isctts L 
20260919_161244.jpg,703,True,53620.0,Clean / None,"5 6 5 8 8 2 8 2 8 9 0i BH 1 @ I 1 2 J Ii 2 I3 T0 1 4 1 (5 Lt Disci [ 80940 Sosamg 1 {S m Gsci"" Seesb J vol Scamo 1 H 7g "
